Mandatory/Elective,Course Name,Course Code,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
HSS Elective,Perspectives of Knowledge,HSS202,Raj Ayyar (V),4,PoK,Monday,0400PM,0530PM,0,Lecture,C24
HSS Elective,Perspectives of Knowledge,HSS202,Raj Ayyar (V),4,PoK,Wednesday,0400PM,0530PM,0,Lecture,C24
HSS Elective,Introduction to Psychology,HSS204,Akshay Kumar(V),4,Psy,Monday,0400PM,0530PM,0,Lecture,C01
HSS Elective,Introduction to Psychology,HSS204,Akshay Kumar(V),4,Psy,Wednesday,0400PM,0530PM,0,Lecture,C01
HSS Elective,Theory & Practice of Engineering Ethics,HSS208,Raj Ayyar (V),4,TPEE,Tuesday,0400PM,0530PM,0,Lecture,C22
HSS Elective,Theory & Practice of Engineering Ethics,HSS208,Raj Ayyar (V),4,TPEE,Friday,0400PM,0530PM,0,Lecture,C22
HSS Elective,Theatre Apperciation,HSS211,Manohar Khushlani(V),4,TA,Monday,0400PM,0530PM,0,Lecture,C12
HSS Elective,Theatre Apperciation,HSS211,Manohar Khushlani(V),4,TA,Wednesday,0400PM,0530PM,0,Lecture,C12
HSS Elective,Key Concepts in Economic Sociology,HSS2ES,Amrit Srinivasan(V),4,ES,Tuesday,0400PM,0530PM,0,Lecture,C24
HSS Elective,Key Concepts in Economic Sociology,HSS2ES,Amrit Srinivasan(V),4,ES,Friday,0400PM,0530PM,0,Lecture,C24
HSS Elective,Introduction to Digital Ethonography,HSS2xx,Shriram Venkatraman,4,IDE,Monday,0400PM,0530PM,0,Lecture,C11
HSS Elective,Introduction to Digital Ethonography,HSS2xx,Shriram Venkatraman,4,IDE,Wednesday,0400PM,0530PM,0,Lecture,C11
HSS Elective,Introduction to Meida In Society: A Public Sphere Approach,HSS2xx,Aasim Khan,4,IMS,Tuesday,0400PM,0530PM,0,Lecture,C03
HSS Elective,Introduction to Meida In Society: A Public Sphere Approach,HSS2xx,Aasim Khan,4,IMS,Friday,0400PM,0530PM,0,Lecture,C03
HSS Elective,Introduction to Socail Informatics(New),HSS2xx,Venkata Ratandeep Suri,4,ISI,Tuesday,0400PM,0530PM,0,Lecture,C13
HSS Elective,Introduction to Socail Informatics(New),HSS2xx,Venkata Ratandeep Suri,4,ISI,Friday,0400PM,0530PM,0,Lecture,C13
HSS Elective,Introduction to Poetry,HSS223A,Saumya Kulshreshtha(G),2,PO,Tuesday,0430PM,0600PM,0,Lecture,C02
